protocol,checkpoint,baseline_mpjpe_m,final_mpjpe_m,delta_mpjpe_m,baseline_dynamic_mpjpe_m,final_dynamic_mpjpe_m,delta_dynamic_mpjpe_m,baseline_distal_mpjpe_m,final_distal_mpjpe_m,delta_distal_mpjpe_m,baseline_head_mpjpe_m,final_head_mpjpe_m,delta_head_mpjpe_m,baseline_impact_mpjpe_m,final_impact_mpjpe_m,delta_impact_mpjpe_m,baseline_root_error_m,final_root_error_m,delta_root_error_m,baseline_pose_speed_ratio,final_pose_speed_ratio,delta_pose_speed_ratio,baseline_root_speed_ratio,final_root_speed_ratio,delta_root_speed_ratio
yja_E02,C:\Users\jjeong\Documents\Playground\NotiFi-CSI-to-Pose-robust\work_v2\runs\impact_gf_yja_e02\calibrated_model.pt,0.2956968626651927,0.294458432994188,-0.0012384296710046816,0.30941200447111317,0.30788633025786727,-0.0015256742132458978,0.438628269748996,0.43745815515971453,-0.0011701145892814568,0.38841849724149524,0.38841849724149524,0.0,0.8414406728744507,0.8383897238969803,-0.00305094897747038,0.5922603522190123,0.5922603522190123,0.0,0.7206920441549929,0.7175587146432059,-0.0031333295117870197,0.3235018956276661,0.3235018956276661,0.0
loso_ajh,C:\Users\jjeong\Documents\Playground\NotiFi-CSI-to-Pose-robust\work_v2\runs\impact_gf_loso_ajh\calibrated_model.pt,0.2809771323645556,0.2809771323645556,0.0,0.25984139596683936,0.25984139596683936,0.0,0.4237606386343638,0.4237606386343638,0.0,0.3567544635247301,0.3567544635247301,0.0,0.6714032649993896,0.6714032649993896,0.0,0.4843915757205751,0.4843915757205751,0.0,0.49479580661543043,0.49479580661543043,0.0,0.6496762837056725,0.6496762837056725,0.0
loso_lmh,C:\Users\jjeong\Documents\Playground\NotiFi-CSI-to-Pose-robust\work_v2\runs\impact_gf_loso_lmh\calibrated_model.pt,0.3288141593888954,0.3280708910138519,-0.0007432683750435154,0.31604546040028064,0.31498980374486596,-0.001055656655414683,0.489971160557535,0.487803061692803,-0.00216809886473196,0.4396950443585714,0.4396950443585714,0.0,0.6041297644376755,0.6013769805431366,-0.002752783894538924,0.4323945222629441,0.4323945222629441,0.0,0.4560348271364062,0.4527611684993239,-0.0032736586370822884,0.49700055613599853,0.49700055613599853,0.0
loso_mhw,C:\Users\jjeong\Documents\Playground\NotiFi-CSI-to-Pose-robust\work_v2\runs\impact_gf_loso_mhw\calibrated_model.pt,0.27158584854117146,0.2718873105115361,0.00030146197036462485,0.2623095218254172,0.26232935086540554,1.98290399883172e-05,0.4053248657120599,0.4057411927867819,0.0004163270747220005,0.35481256075479367,0.35481256075479367,0.0,0.721825494368871,0.7200054218371709,-0.0018200725317001343,0.5340754970908165,0.5340754970908165,0.0,0.15578907299767333,0.15522816496238337,-0.0005609080352899642,0.13544633572549997,0.13544633572549997,0.0
